,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,0.1
1,20,2.0,199,4000,0.11
2,20,2.0,299,6000,0.19
3,20,1.0,399,8000,0.32
4,20,0.0,499,10000,0.31
5,20,-1.0,599,12000,0.52
6,20,-2.0,699,14000,0.28
7,20,0.0,799,16000,0.43
8,20,1.0,899,18000,0.48
9,20,1.0,999,20000,0.39
10,20,1.0,1099,22000,0.5
11,20,1.0,1199,24000,0.48
12,20,0.0,1299,26000,0.48
13,20,0.0,1399,28000,0.55
14,20,0.0,1499,30000,0.6
15,20,1.0,1599,32000,0.66
16,20,1.0,1699,34000,0.48
17,20,0.0,1799,36000,0.65
18,20,1.0,1899,38000,0.71
19,20,0.0,1999,40000,1.01
20,20,1.0,2099,42000,0.67
21,20,1.0,2199,44000,0.73
22,20,0.0,2299,46000,0.72
23,20,0.0,2399,48000,0.68
24,20,0.0,2499,50000,0.84
25,20,0.0,2599,52000,0.83
26,20,1.0,2699,54000,0.76
27,20,1.0,2799,56000,1.0
28,20,1.0,2899,58000,0.83
29,20,0.0,2999,60000,0.74
30,20,1.0,3099,62000,0.78
31,20,2.0,3199,64000,0.87
32,20,2.0,3299,66000,0.84
33,20,0.0,3399,68000,1.05
34,20,0.0,3499,70000,0.74
35,20,1.0,3599,72000,0.8
36,20,1.0,3699,74000,0.97
37,20,0.0,3799,76000,0.87
38,20,1.0,3899,78000,1.01
39,20,0.0,3999,80000,0.88
40,20,0.0,4099,82000,0.87
41,20,1.0,4199,84000,0.97
42,20,1.0,4299,86000,0.94
43,20,3.0,4399,88000,0.87
44,20,1.0,4499,90000,1.02
45,20,0.0,4599,92000,1.03
46,20,1.0,4699,94000,1.22
47,20,1.0,4799,96000,1.03
48,20,0.0,4899,98000,1.06
49,20,0.0,4999,100000,0.89
