,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.2
1,20,1.0,199,4000,0.31
2,20,-1.0,299,6000,0.26
3,20,0.0,399,8000,0.26
4,20,1.0,499,10000,0.53
5,20,0.0,599,12000,0.33
6,20,2.0,699,14000,0.6
7,20,0.0,799,16000,0.57
8,20,0.0,899,18000,0.53
9,20,1.0,999,20000,0.53
10,20,0.0,1099,22000,0.51
11,20,1.0,1199,24000,0.77
12,20,1.0,1299,26000,0.63
13,20,1.0,1399,28000,0.73
14,20,1.0,1499,30000,0.86
15,20,1.0,1599,32000,0.59
16,20,2.0,1699,34000,0.8
17,20,1.0,1799,36000,0.71
18,20,1.0,1899,38000,0.74
19,20,2.0,1999,40000,0.59
20,20,2.0,2099,42000,0.86
21,20,0.0,2199,44000,0.68
22,20,2.0,2299,46000,0.79
23,20,1.0,2399,48000,0.88
24,20,0.0,2499,50000,0.71
25,20,-1.0,2599,52000,0.92
26,20,0.0,2699,54000,1.03
27,20,2.0,2799,56000,0.94
28,20,2.0,2899,58000,0.94
29,20,2.0,2999,60000,0.93
30,20,2.0,3099,62000,0.98
31,20,2.0,3199,64000,0.99
32,20,0.0,3299,66000,0.87
33,20,2.0,3399,68000,0.92
34,20,2.0,3499,70000,1.07
35,20,1.0,3599,72000,1.01
36,20,1.0,3699,74000,1.31
37,20,1.0,3799,76000,0.83
38,20,2.0,3899,78000,1.11
39,20,2.0,3999,80000,1.12
40,20,3.0,4099,82000,1.18
41,20,0.0,4199,84000,0.86
42,20,-1.0,4299,86000,0.92
43,20,1.0,4399,88000,0.97
44,20,2.0,4499,90000,1.06
45,20,3.0,4599,92000,1.27
46,20,1.0,4699,94000,1.21
47,20,1.0,4799,96000,1.2
48,20,1.0,4899,98000,1.1
49,20,0.0,4999,100000,1.05
