,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.33
1,20,1.0,199,4000,0.19
2,20,2.0,299,6000,0.36
3,20,1.0,399,8000,0.42
4,20,1.0,499,10000,0.4
5,20,0.0,599,12000,0.54
6,20,0.0,699,14000,0.37
7,20,0.0,799,16000,0.44
8,20,0.0,899,18000,0.55
9,20,0.0,999,20000,0.48
10,20,0.0,1099,22000,0.34
11,20,2.0,1199,24000,0.41
12,20,2.0,1299,26000,0.48
13,20,1.0,1399,28000,0.6
14,20,0.0,1499,30000,0.51
15,20,2.0,1599,32000,0.43
16,20,1.0,1699,34000,0.48
17,20,2.0,1799,36000,0.61
18,20,1.0,1899,38000,0.69
19,20,0.0,1999,40000,0.65
20,20,0.0,2099,42000,0.62
21,20,-2.0,2199,44000,0.62
22,20,1.0,2299,46000,0.56
23,20,1.0,2399,48000,0.7
24,20,1.0,2499,50000,0.62
25,20,0.0,2599,52000,0.5
26,20,2.0,2699,54000,0.5
27,20,0.0,2799,56000,0.63
28,20,0.0,2899,58000,0.73
29,20,0.0,2999,60000,0.78
30,20,1.0,3099,62000,0.86
31,20,0.0,3199,64000,0.63
32,20,0.0,3299,66000,0.68
33,20,0.0,3399,68000,0.71
34,20,0.0,3499,70000,0.82
35,20,2.0,3599,72000,0.81
36,20,-1.0,3699,74000,0.86
37,20,1.0,3799,76000,0.76
38,20,2.0,3899,78000,0.94
39,20,1.0,3999,80000,0.74
40,20,0.0,4099,82000,0.89
41,20,2.0,4199,84000,0.85
42,20,1.0,4299,86000,0.8
43,20,2.0,4399,88000,0.74
44,20,1.0,4499,90000,0.78
45,20,2.0,4599,92000,1.09
46,20,1.0,4699,94000,0.95
47,20,0.0,4799,96000,1.12
48,20,2.0,4899,98000,1.13
49,20,2.0,4999,100000,0.96
