,timesteps,ep_reward,num_updates,episodes
0,200,-187.31044373251103,0,0
1,100,-30.116539980644,0,1
2,200,-119.25472554702378,0,2
3,90,-1.1165399803109235,0,3
4,200,-96.25300704449582,0,4
5,200,-167.77281630468053,0,5
6,200,-64.90926613243448,0,6
7,200,-122.66139756929694,0,7
8,200,-174.74090394022934,0,8
9,200,-147.72053787869234,0,9
10,200,-199.9841175151543,0,10
11,127,-82.11653998031095,1,11
12,200,11.481918986638275,0,12
13,200,8.418067106679281,0,13
14,66,-10.113534578658342,0,14
15,41,23.95710358047115,0,15
16,200,-109.78964876609055,0,16
17,200,-17.250978361064078,0,17
18,200,-126.55041485289571,0,18
19,183,-53.11353457865825,0,19
20,191,-35.09986426057582,0,20
21,139,98.90013573942423,0,21
22,113,-40.04291133333413,0,22
23,200,-53.97746590018707,1,23
24,158,68.05798061280943,0,24
25,46,12.883460019689073,0,25
26,84,112.95091921986979,0,26
27,57,-22.042896419528848,0,27
28,66,157.90013573942417,0,28
29,145,14.891403413671725,0,29
30,77,-34.927786597081074,0,30
31,200,-86.57304569068226,0,31
32,200,29.807498955279375,0,32
33,200,-14.73194071826196,0,33
34,200,-113.33022102985166,0,34
35,200,-31.21314428509971,0,35
36,200,-47.784658030583344,0,36
37,174,-29.049080780130218,1,37
38,41,2.8834600196890747,0,38
39,129,58.07977501147434,0,39
40,47,50.957103580471156,0,40
41,37,8.883460019689075,0,41
42,102,27.95091921986977,0,42
43,88,-11.082338655050886,0,43
44,46,10.883460019356002,0,44
45,200,87.17421689297483,0,45
46,26,7.957103580471152,0,46
47,38,3.8834600196890747,0,47
48,200,-28.097611188606905,0,48
49,200,26.852841595490904,0,49
50,200,-58.24521691673917,0,50
51,51,-13.927786597081067,0,51
52,42,28.900135858062498,0,52
53,200,-94.70446248448016,0,53
54,32,48.883460019689075,0,54
55,193,-63.072796810996834,0,55
56,200,16.572164715903483,1,56
57,117,-2.1130865878639753,0,57
58,33,21.883460019689075,0,58
59,32,7.886465421341667,0,59
60,43,19.957103580471145,0,60
61,200,-58.97271085994096,0,61
62,25,42.957103580471156,0,62
63,200,-41.235171334957286,0,63
64,28,8.95710358047115,0,64
65,31,17.95710358047115,0,65
66,105,-2.058136985134249,0,66
67,101,-14.11623067033549,0,67
68,138,10.079775011474325,0,68
69,200,-69.93625036193785,0,69
70,127,-17.10859658632828,0,70
71,39,12.883460019689071,0,71
72,200,-59.64652731225232,0,72
73,200,-50.63731251910952,0,73
74,23,23.9001358580625,0,74
75,31,32.88646542134167,0,75
76,33,15.957103580471149,1,76
77,22,22.883460019689075,0,77
78,26,9.072213402918926,0,78
79,200,-30.86192806142067,0,79
80,120,79.88691341213602,0,80
81,21,44.88646542134167,0,81
82,24,63.90013573942421,0,82
83,51,10.883460019689077,0,83
84,25,18.95710358047115,0,84
85,24,14.957103580471149,0,85
86,111,29.886913412136032,0,86
87,200,-13.619008578497663,0,87
88,20,11.957103580471149,0,88
89,26,28.883460019689075,0,89
90,160,-40.03581157063016,0,90
91,135,55.88691341213605,0,91
92,200,-56.12329383320963,0,92
93,19,26.9001358580625,0,93
94,22,24.88646542134167,0,94
95,17,14.883460019689075,0,95
96,200,9.684123718816245,0,96
97,107,17.941863014865753,0,97
98,190,-45.100824484176165,0,98
99,28,62.883460019355994,0,99
100,191,-21.054126135935967,1,100
101,24,8.883460019689073,0,101
102,17,16.883460019689075,0,102
103,23,8.957103580471149,0,103
104,178,34.10376665088728,0,104
105,102,92.88691341213597,0,105
106,24,46.900135739424215,0,106
107,22,10.883460019689077,0,107
108,194,-48.896233349112705,0,108
109,22,25.9001358580625,0,109
110,17,13.883460019689073,0,110
111,19,24.95710358047115,0,111
112,22,9.957103580471147,0,112
113,27,17.886465421341672,0,113
114,24,24.88646542134167,0,114
115,106,-14.113086587863956,0,115
116,200,-9.866016383282709,0,116
117,29,42.07221340291892,0,117
118,22,12.883460019689077,0,118
119,22,9.957103580471149,0,119
120,19,45.072213402918926,0,120
121,18,12.883460019689073,0,121
122,200,-23.226418392574303,0,122
123,157,48.964914135798466,0,123
124,21,16.072213402918926,0,124
125,23,21.900135858062498,0,125
126,19,14.883460019689075,0,126
127,177,9.945873864064055,0,127
128,86,31.88376932966453,0,128
129,25,11.072213402918926,1,129
130,16,14.883460019689075,0,130
131,17,24.95710358047115,0,131
132,16,17.072213402918923,0,132
133,179,4.927203189003155,0,133
134,18,24.072213402918926,0,134
135,23,65.95710358047116,0,135
136,27,51.900135739424215,0,136
137,24,25.883460019689075,0,137
138,24,15.072213402918925,0,138
139,16,36.95710358047115,0,139
140,38,23.883460019689075,0,140
141,24,9.883460019689073,0,141
142,20,16.886465421341665,0,142
143,200,18.398252091827796,0,143
144,17,17.883460019689075,0,144
145,20,12.883460019689075,0,145
146,200,-76.29567924990775,0,146
147,22,22.900135858062498,0,147
148,26,76.88346001968907,0,148
149,28,53.90013573942421,0,149
150,19,14.957103580471149,0,150
151,200,-24.917734371325345,0,151
152,200,35.848861312520604,0,152
153,18,13.883460019689075,0,153
154,23,23.072213402918926,0,154
155,200,-56.1162537581245,0,155
156,19,24.072213402918926,0,156
157,17,15.883460019689077,0,157
158,20,36.07221340291892,0,158
159,200,-13.870042105022486,0,159
160,105,28.079775011474343,0,160
161,163,39.899175515823856,1,161
162,44,46.91766134494912,0,162
163,16,25.9001358580625,0,163
164,182,3.927203189003187,0,164
165,133,19.054977759241993,0,165
166,20,47.9001358580625,0,166
167,100,22.879921602517005,0,167
168,25,21.88646542134167,0,168
169,19,12.95710358047115,0,169
170,143,-9.035811570630129,0,170
171,23,34.95710358047115,0,171
172,26,16.900135858062498,0,172
173,56,12.950919219869775,0,173
174,24,54.88346001968907,0,174
175,17,26.95710358047115,0,175
176,18,14.883460019689077,0,176
177,200,-8.417696662325785,0,177
178,200,-18.25443340085725,0,178
179,55,51.950919219869775,0,179
180,22,33.88646542134167,0,180
181,22,13.883460019689075,0,181
182,27,33.95710358047115,0,182
183,50,25.917661344949117,0,183
184,21,14.957103580471149,0,184
185,146,-5.984135563607534,0,185
186,17,35.883460019689075,0,186
187,21,25.9001358580625,0,187
188,23,26.95710358047115,0,188
189,21,36.883460019689075,0,189
190,178,22.023081547127028,0,190
191,20,33.072213402918926,1,191
192,200,2.9263144791677123,0,192
193,165,0.10376665088728387,0,193
194,109,-3.1007136516877782,0,194
195,200,-47.581092514027915,0,195
196,17,16.95710358047115,0,196
197,17,26.95710358047115,0,197
198,20,14.072213402918925,0,198
199,19,23.072213402918923,0,199
200,24,20.95710358047115,0,200
201,18,26.883460019689075,0,201
202,19,23.88646542134167,0,202
203,119,47.90425031656475,0,203
204,170,-3.0541261359359737,0,204
205,21,45.883460019689075,0,205
206,101,22.899286348312224,0,206
207,22,23.95710358047115,0,207
208,16,16.95710358047115,0,208
209,57,30.988520538688462,0,209
210,100,45.89928634831224,0,210
211,22,24.88646542134167,0,211
212,200,21.105464070206903,0,212
213,20,26.883460019689075,0,213
214,21,24.883460019689075,0,214
215,15,26.9001358580625,0,215
216,18,23.95710358047115,0,216
217,200,82.28185722746683,0,217
218,106,72.8837693296645,1,218
219,14,16.883460019689075,0,219
220,21,15.883460019689075,0,220
221,21,16.883460019689075,0,221
222,169,-23.89623334911269,0,222
223,19,15.883460019689077,0,223
224,118,23.88376932966453,0,224
225,20,11.95710358047115,0,225
226,23,56.900135739424215,0,226
227,19,24.95710358047115,0,227
228,21,22.900135858062498,0,228
229,51,12.917661344949117,0,229
230,200,-24.962405075136473,0,230
231,22,34.95710358047115,0,231
232,19,12.886465421341667,0,232
233,124,1.8992863483122306,0,233
234,20,23.9001358580625,0,234
235,17,26.072213402918923,0,235
236,200,8.669065081006133,0,236
237,17,25.88646542134167,0,237
238,17,14.957103580471149,0,238
239,200,16.64279712682766,0,239
240,18,25.95710358047115,0,240
241,195,-40.10302169040082,0,241
242,17,25.072213402918926,0,242
243,22,12.883460019689075,0,243
244,20,16.883460019689075,0,244
245,51,53.95091921986976,0,245
246,92,7.904250316564754,0,246
247,200,-35.41351440589551,0,247
248,17,13.883460019689075,0,248
249,55,12.950919219869782,1,249
250,15,15.883460019689075,0,250
251,20,65.90013573942421,0,251
252,19,47.072213402918926,0,252
253,109,-19.920224988525693,0,253
254,17,13.883460019689075,0,254
255,154,48.90645451250193,0,255
256,200,27.986453623185056,0,256
257,20,25.883460019689075,0,257
258,17,25.9001358580625,0,258
259,18,27.072213402918923,0,259
260,17,26.883460019689075,0,260
261,186,7.909320198109683,0,261
262,20,15.072213402918925,0,262
263,16,16.883460019689075,0,263
264,149,-41.035811570630116,0,264
265,17,16.883460019689075,0,265
266,18,16.883460019689075,0,266
267,200,-19.905999162163013,0,267
268,18,16.95710358047115,0,268
269,27,12.957103580471149,0,269
270,16,16.072213402918923,0,270
271,24,96.90013573942423,0,271
272,18,25.883460019689075,0,272
273,24,14.957103580471149,0,273
274,200,-26.0203900895319,0,274
275,112,37.89928634831223,0,275
276,17,24.95710358047115,0,276
277,99,-28.116230670335483,0,277
278,17,16.95710358047115,0,278
279,16,16.883460019689075,0,279
280,20,22.883460019689075,0,280
281,75,45.917661344949124,0,281
282,16,26.9001358580625,0,282
283,15,16.95710358047115,0,283
284,27,82.9001357394242,0,284
285,20,15.957103580471149,1,285
286,111,18.075898814772227,0,286
287,18,23.95710358047115,0,287
288,19,35.88646542134167,0,288
289,22,9.883460019689077,0,289
290,24,20.900135858062505,0,290
291,179,18.927203189003166,0,291
292,21,15.072213402918923,0,292
293,19,23.900135858062498,0,293
294,14,16.883460019689075,0,294
295,16,15.957103580471149,0,295
296,19,23.9001358580625,0,296
297,200,96.12948356063902,0,297
298,18,17.072213402918926,0,298
299,200,8.8198474798868,0,299
300,21,37.07221340291892,0,300
301,18,15.886465421341667,0,301
302,105,61.879921602517015,0,302
303,200,101.04460411415421,0,303
304,18,27.95710358047115,0,304
305,103,22.075898814772223,0,305
306,200,-2.7905282352378826,0,306
307,21,24.883460019689075,0,307
308,50,44.917661344949124,0,308
309,200,-59.08290632388704,0,309
310,22,12.883460019689078,0,310
311,21,47.900135739424215,0,311
312,20,35.9001358580625,0,312
313,28,105.90013573942423,0,313
314,134,47.001026574585104,1,314
315,22,36.9001358580625,0,315
316,14,16.883460019689075,0,316
317,200,-9.603560645923624,0,317
318,200,3.9799898106419174,0,318
319,28,27.9001358580625,0,319
320,14,16.883460019689075,0,320
321,22,16.883460019689075,0,321
322,17,17.883460019689075,0,322
323,129,-1.095749683435237,0,323
324,24,22.07221340291892,0,324
325,16,26.95710358047115,0,325
326,56,55.950919219869775,0,326
